marital_status,app_mode,course,daytime_evening,previous_qualification,previous_grade,nationality,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,Displaced,special_needs,debtor,fees_to_date,gender,scholarship,enrollment_age,international,unemployment_rate,inflation_rate,gdp,target,enrolled_units,units_evaluations,aproved_units,grade
1,17,171,1,1,122,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout,0,0,0,0
1,15,9254,1,1,160,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,13.9,-0.3,0.79,Graduate,12,12,12,13.83333333
1,1,9070,1,1,122,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,10.8,1.4,1.74,Dropout,12,0,0,0
1,17,9773,1,1,122,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate,12,18,11,12.91428572
2,39,8014,0,1,100,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,13.9,-0.3,0.79,Graduate,12,15,11,12.66666667
2,39,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,16.2,0.3,-0.92,Graduate,10,27,10,11.67857143
1,1,9500,1,1,142,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate,15,17,15,13.8225
1,18,9254,1,1,119,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,15.5,2.8,-4.06,Dropout,10,10,0,0
1,1,9238,1,1,137,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,16.2,0.3,-0.92,Graduate,12,15,12,14.00892857
1,1,9238,1,1,138,1,1,19,4,7,123,1,0,1,0,0,0,18,0,8.9,1.4,3.51,Dropout,12,23,7,12.45
1,1,9670,1,1,139,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate,12,13,11,13.26666666
1,1,9500,1,1,136,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate,16,16,14,13.21428571
1,1,9853,1,1,133,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Dropout,12,6,0,0
1,53,9254,1,42,110,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,8.9,1.4,3.51,Graduate,12,15,11,10.78571429
1,1,9085,1,1,149,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate,10,12,9,12.625
1,1,9773,1,1,127,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout,12,13,5,6.6
1,18,9238,1,1,137,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Enrolled,12,24,3,11.5
