marital_status,course,daytime_evening,previous_qualification,previous_grade,nationality,admission_grade,special_needs,gender,scholarship,enrollment_age,international,enrolled_units,units_evaluations,aproved_units,grade
1,9254,1,1,160,1,142.5,0,1,0,19,0,12,12,12,13.83333333
1,9070,1,1,122,1,124.8,0,1,0,19,0,12,0,0,0
1,9773,1,1,122,1,119.6,0,0,0,20,0,12,18,11,12.91428572
2,8014,0,1,100,1,141.5,0,0,0,45,0,12,15,11,12.66666667
2,9991,0,19,133.1,1,114.8,0,1,0,50,0,10,27,10,11.67857143
1,9500,1,1,142,1,128.4,0,0,1,18,0,15,17,15,13.8225
1,9254,1,1,119,1,113.1,0,1,0,22,0,10,10,0,0
1,9238,1,1,137,62,129.3,0,0,1,21,1,12,15,12,14.00892857
1,9238,1,1,138,1,123,0,0,0,18,0,12,23,7,12.45
1,9670,1,1,139,1,130.6,0,0,0,18,0,12,13,11,13.26666666
1,9500,1,1,136,1,119.3,0,0,1,18,0,16,16,14,13.21428571
1,9853,1,1,133,1,130.2,0,0,0,19,0,12,6,0,0
1,9254,1,42,110,1,111.8,0,0,1,21,0,12,15,11,10.78571429
1,9085,1,1,149,1,137.1,0,0,1,18,0,10,12,9,12.625
1,9773,1,1,127,1,120.7,0,0,0,20,0,12,13,5,6.6
1,9238,1,1,137,1,137.4,0,0,0,18,0,12,24,3,11.5
1,9500,1,1,135,1,127.3,0,0,0,18,0,15,16,15,13.925625
1,9130,1,1,137,1,136.3,0,0,0,20,0,10,16,8,12.375
1,9853,1,1,140,1,124.6,0,0,0,18,0,14,15,12,12.58333333
1,9556,1,1,127,1,121.8,0,0,0,20,0,15,23,15,11.43125
1,9500,1,1,142,1,125.5,0,0,0,18,0,16,24,14,12.85714286
1,9670,1,1,125,1,114.9,0,0,1,19,0,12,15,12,12.83035715
1,9500,1,1,126,1,123.9,0,0,0,19,0,15,17,13,13.70547619
1,9238,1,1,151,1,157,0,0,1,18,0,12,20,9,11.3
1,9238,1,1,115,1,116.4,0,0,0,21,0,12,18,12,12.33035715
1,9085,1,1,138,1,131,0,0,0,18,0,10,16,9,12.83333333
1,9147,1,1,135,1,122.1,0,0,0,20,0,10,12,10,12.16666667
1,9500,1,1,127,1,118.8,0,1,0,19,0,14,16,12,13.325
1,9003,1,39,150,1,150,0,1,0,21,0,12,32,10,11.21428571
1,9070,1,1,125,1,130,0,1,0,20,0,12,16,10,13.11666667
1,9147,1,1,143,1,138.8,0,1,0,18,0,10,17,5,12.41666667
1,8014,0,1,138,1,134.5,0,0,0,19,0,12,14,12,13.52083333
1,9991,0,1,130,1,131.4,0,1,0,34,0,10,15,10,12.91428572
1,33,1,1,130,1,102.5,0,1,0,37,0,14,14,1,5
1,9119,1,10,133.1,1,128.8,0,1,0,43,0,10,0,0,0
1,9147,1,1,140,1,122.9,0,0,0,55,0,10,18,3,11
4,9991,0,1,120,1,113.9,0,0,0,39,0,10,13,10,11.3
1,9130,1,39,120,6,120,0,0,0,20,1,12,24,6,11.83333333
1,9773,1,1,126,1,121.1,0,0,0,18,0,11,11,4,6.375
1,9147,1,1,133,1,120.4,0,0,0,22,0,10,10,10,15.3
1,9500,1,1,103,1,100.6,1,0,0,22,0,15,18,12,14.13542857
1,9773,1,1,120,1,121.4,0,0,0,20,0,12,14,9,13.4
1,9991,0,1,133.1,1,109.7,0,0,0,29,0,10,0,0,0
1,9991,0,1,154,1,134.1,0,0,0,24,0,10,20,5,12.91666667
1,9238,1,1,130,1,127.6,0,0,0,18,0,12,14,11,12.43333334
1,9500,1,1,132,1,132.4,0,0,1,22,0,15,17,13,13.64404762
1,8014,0,39,130,1,133.4,0,0,1,21,0,12,13,12,12.39285715
1,9238,1,1,139,1,126.1,0,0,1,19,0,12,14,11,12.58333333
1,9254,1,1,130,1,113.5,0,0,1,24,0,12,12,12,13.91666667
1,9500,1,1,139,1,121.3,0,0,1,19,0,16,20,12,11.83333333
1,9773,1,1,127,1,121.8,0,0,1,20,0,12,23,7,12.5
1,9130,1,1,167,1,159.3,0,0,0,19,0,10,12,10,15.25714286
1,9991,0,1,130,1,120,0,0,0,27,0,10,22,10,10.8
1,9500,1,1,130,1,129.1,0,0,0,18,0,15,19,15,13.31972222
2,9254,1,3,130,1,130,0,0,0,39,0,12,16,0,0
1,9130,1,40,129,1,155.3,0,0,0,27,0,17,22,15,12.95
1,9500,1,1,141,1,139.8,0,0,0,18,0,16,16,16,14.935
1,9500,1,1,125,1,114.9,0,0,0,18,0,15,20,13,12.67738095
1,9238,1,39,130,1,131.9,0,0,1,21,0,12,14,12,12
1,9070,1,1,127,1,130.2,0,1,0,19,0,12,14,6,10.7
1,9070,1,1,116,1,120.9,0,1,0,24,0,12,12,0,0
4,9500,1,19,133.1,1,126,0,1,0,29,0,15,20,10,11.45
1,9003,1,39,130,1,130,0,1,0,23,0,12,15,12,12.5
1,9147,1,1,125,1,120.1,0,1,0,19,0,10,18,9,10.975
1,9254,1,1,160,1,100,0,1,0,26,0,12,15,11,11.4
1,9147,1,1,148,1,134,0,1,0,18,0,10,14,0,0
1,9500,1,1,150,1,130.8,0,1,0,24,0,15,16,15,12.8625
1,9254,1,1,118,1,111.7,0,1,0,18,0,12,24,4,11.83333333
1,9773,1,1,142,1,132.9,0,1,0,18,0,12,19,9,12.33333333
1,9147,1,1,120,1,115.5,0,1,0,18,0,10,19,6,10.5952381
1,9254,1,1,106,1,106,0,1,1,21,0,12,19,5,10.75
1,9773,1,1,121,1,120.3,0,1,1,19,0,12,12,12,13.5
1,9500,1,1,150,1,130.8,0,1,1,22,0,15,16,15,14.94920635
2,8014,0,1,120,1,117,0,1,0,33,0,12,14,12,11.83333333
1,9853,1,1,114,1,110.2,0,1,0,20,0,12,15,10,12.2
1,9991,0,2,140,1,155.7,0,1,0,35,0,6,1,0,0
1,9003,1,4,160,1,180.4,0,1,0,24,0,24,31,16,12.73333334
1,9254,1,1,120,1,125.5,0,1,0,18,0,10,14,8,11.66666667
2,8014,0,1,130,1,110,0,0,0,33,0,12,18,11,11
1,9500,1,1,160,1,161,0,0,1,22,0,16,16,14,13.08
1,9670,1,1,120,1,100,0,0,1,25,0,10,14,9,11.05
1,9070,1,1,124,1,117.6,0,1,0,20,0,12,15,11,10.93333334
1,9147,1,1,143,1,128.7,0,1,0,23,0,10,11,9,13.9
1,9119,1,1,115,1,112.2,0,1,0,18,0,10,18,2,5
1,9500,1,1,133.1,1,100.8,0,1,0,24,0,14,25,0,0
1,9773,1,1,133.1,41,105,0,0,0,21,1,12,12,12,13.75
1,9130,1,1,133.1,41,100,0,0,0,26,1,12,13,2,6
2,9853,1,10,133.1,1,115.5,0,0,0,39,0,12,26,3,6.333333335
2,8014,0,1,133.1,1,114,0,0,0,44,0,14,18,14,12.10416667
1,9119,1,1,130,26,137,0,1,0,19,1,10,20,8,13.625
1,9773,1,1,135,1,124.9,0,0,0,18,0,12,12,12,13.5
1,9500,1,1,132,1,120.3,0,0,1,18,0,15,16,15,14.11388889
1,9085,1,1,135,1,134.3,0,0,0,19,0,10,14,10,14
1,9500,1,1,115,1,111.5,0,0,0,19,0,14,17,4,5.98
1,9085,1,42,130,1,128.8,0,0,0,21,0,19,26,13,13.1375
2,8014,0,1,130,1,113.5,0,0,0,36,0,12,0,0,0
4,9003,1,12,133.1,1,160,0,0,0,43,0,31,33,31,14.43117409
1,9853,1,1,123,1,117.4,0,0,0,19,0,12,0,0,0
1,9070,1,1,130,1,122.2,0,0,0,20,0,21,23,21,12.63636364
1,9238,1,1,122,1,118.2,0,0,0,19,0,12,0,0,0
1,9085,1,1,113,1,106.7,0,0,0,20,0,12,32,8,13.725
1,9500,1,1,111,1,108.2,0,0,0,20,0,14,19,11,12.78333334
1,9853,1,1,133.1,1,107,0,0,0,20,0,14,22,9,12.33333333
1,9238,1,1,142,1,136.1,0,0,0,18,0,12,14,12,14.42857143
1,9147,1,1,123,1,115.3,0,0,1,18,0,10,20,6,12
1,9085,1,1,131,1,139.8,0,0,0,19,0,10,11,10,13.1
1,9773,1,1,158,1,157,0,0,0,18,0,12,13,12,12.61904762
1,9500,1,1,122,1,131,0,0,0,18,0,14,14,12,12.51666667
1,9500,1,1,130,1,100,0,0,0,20,0,14,18,13,12.30833334
1,9238,1,1,154,1,140.4,0,0,1,20,0,12,25,6,10.375
1,9147,1,1,120,1,113.4,0,0,0,20,0,10,21,6,10.5
1,9085,1,1,140,1,137,0,0,0,18,0,10,18,10,12.27142857
1,9147,1,1,127,1,121.8,0,0,0,18,0,10,10,10,13.3
1,9254,1,1,133.1,1,131,0,0,0,21,0,12,24,5,11
1,9147,1,1,120,1,118.6,0,0,0,19,0,10,17,9,11.025
1,9670,1,1,131,1,127.9,0,0,1,19,0,10,10,10,13.5
1,9085,1,1,130,1,121.3,0,0,0,19,0,12,28,12,13.18333334
1,9556,1,1,122,1,117.1,0,0,0,19,0,14,12,5,6.05
1,9085,1,39,160,1,160,0,0,0,20,0,12,24,11,13.97222223
1,9853,1,1,146,1,145.3,0,0,1,18,0,12,15,10,13.1
1,9238,1,1,131,1,122.6,0,0,0,18,0,12,13,12,13.33333333
1,9500,1,1,132,1,128,0,0,0,19,0,15,16,15,14.23912698
1,9500,1,1,138,1,124.9,0,0,1,18,0,15,18,14,13.49017857
1,9070,1,1,130,1,123.7,0,0,0,18,0,12,12,12,12.66666667
1,9147,1,1,126,1,120.1,0,0,0,19,0,10,12,10,13.5
1,9500,1,1,148,1,131.7,0,0,0,19,0,14,15,5,7
1,9238,1,1,130,1,133.2,0,0,0,20,0,16,23,16,11.69047619
1,9670,1,1,117,1,109.3,0,0,1,19,0,12,16,9,12.25
1,9670,1,1,120,1,113,0,0,0,20,0,10,12,8,11.85
1,9773,1,1,153,1,157.9,0,0,1,18,0,12,12,12,14.83333333
1,9500,1,1,117,1,112.1,0,0,1,20,0,15,18,12,13.04042857
1,9500,1,1,178,1,174.7,0,0,0,18,0,15,16,15,17.35625
1,9500,1,1,129,1,128.8,0,0,0,19,0,14,14,12,12.66666667
1,9773,1,1,116,1,110.1,0,0,1,19,0,12,18,11,12.33333333
1,9147,1,1,99,1,99.7,0,0,0,22,0,10,15,0,0
1,9238,1,1,135,1,121,0,0,1,19,0,12,13,12,11.41666667
1,9500,1,1,141,1,131.7,0,0,1,19,0,15,21,15,12.968125
1,9853,1,1,132,1,119.1,0,0,1,19,0,12,19,10,11.4
1,9254,1,1,132,1,124.7,0,0,0,19,0,10,20,0,0
1,9254,1,1,113,1,117.2,0,0,0,20,0,12,20,8,11.43333334
1,9147,1,1,134,1,128.8,0,0,0,18,0,10,19,10,13.77083333
1,9500,1,1,136,1,131.5,0,0,1,20,0,15,17,13,14.02095238
1,9085,1,1,129,1,123.4,0,0,0,19,0,10,12,10,12.9
1,9853,1,1,138,1,124.7,0,0,0,18,0,12,21,8,11.58333333
1,9853,1,1,137,1,132.8,0,0,0,18,0,12,15,11,12.56666667
1,9853,1,1,115,1,108.7,0,0,0,21,0,12,22,6,11.33333333
1,9853,1,1,129,1,138.1,0,0,0,19,0,12,18,10,11.75
1,9147,1,1,131,1,126.5,0,0,1,18,0,10,10,10,11.2
1,9238,1,1,133,1,127.4,0,0,1,18,0,12,15,12,12.05357143
1,9238,1,1,125,1,123.6,0,0,0,20,0,12,19,10,11.41666667
1,8014,0,1,120,1,122,0,0,1,24,0,12,20,10,11.8
1,9670,1,1,128,1,118.2,0,0,0,19,0,12,15,12,13.08333333
1,9500,1,1,127,1,123.9,0,0,1,18,0,15,21,14,12.80833334
1,9500,1,1,134,1,125.8,0,0,0,18,0,15,16,15,15.136875
1,9853,1,1,132,1,123.3,0,0,0,21,0,12,23,7,11.25
1,9670,1,1,124,1,124.4,0,0,0,19,0,10,10,10,14.2
1,9773,1,1,133.1,1,126,0,0,1,19,0,12,13,12,12.75
3,9003,1,1,170,1,170,0,0,0,47,0,7,1,0,0
1,9238,1,1,125,1,121.5,0,0,0,19,0,12,22,9,11.33333333
1,9500,1,3,130,1,130,0,0,0,29,0,16,16,14,14.25714286
1,9238,1,1,125,1,117,0,0,0,21,0,12,25,5,11.66666667
1,9085,1,1,130,1,130,0,0,0,28,0,10,24,8,10.875
1,9556,1,1,133.1,1,108,0,0,0,20,0,15,16,15,13.00982143
1,9500,1,1,131,1,132.3,0,0,0,19,0,14,14,12,11.68333333
1,8014,0,1,150,1,148,0,0,0,26,0,12,18,8,11.83333333
1,9254,1,1,125,1,122.6,0,0,0,20,0,12,14,10,12.45833333
1,9670,1,1,131,1,123,0,0,1,18,0,10,12,7,12.58333333
1,9853,1,1,130,1,102.5,0,0,0,27,0,12,19,10,12.6
1,9500,1,1,123,1,113.3,0,0,0,20,0,14,16,8,11.95
1,9853,1,1,141,1,133,0,0,0,18,0,12,20,10,11.4
1,9500,1,3,140,1,140,0,0,0,33,0,15,18,12,14.46666667
1,9853,1,1,140,1,128.3,0,0,0,35,0,40,40,40,12.70426065
1,9991,0,39,140,1,140,0,0,1,26,0,12,14,12,12.91666667
1,9773,1,19,133.1,1,104,0,0,0,27,0,12,12,5,6
1,9070,1,1,131,1,122.3,0,0,0,19,0,12,12,6,6.083333335
1,9254,1,1,143,1,135,0,0,0,20,0,12,0,0,0
1,9147,1,1,132,1,119.1,0,0,0,20,0,10,18,6,10.28571429
1,9238,1,1,143,1,126.6,0,0,0,21,0,16,30,12,10.75
1,9500,1,1,141,1,129,0,0,1,18,0,14,14,12,13.05
1,9085,1,1,133.1,1,162.3,0,0,0,24,0,12,16,2,5.5
1,9070,1,1,148,1,163.4,0,0,0,20,0,12,13,12,11.75
1,9254,1,1,125,1,121.5,0,0,1,21,0,12,13,12,12.25
1,8014,0,1,120,1,122.8,0,0,0,23,0,11,25,3,10
1,9147,1,1,140,1,118,0,0,0,24,0,10,10,0,0
1,9853,1,1,139,1,134,0,0,0,21,0,12,0,0,0
1,9500,1,1,142,1,129.8,0,0,0,18,0,16,16,14,12.24285714
1,9991,0,40,130,1,152,0,0,0,27,0,10,0,0,0
1,9500,1,1,126,1,122.8,0,0,0,18,0,16,16,16,12.93375
1,9119,1,3,150,1,150,0,0,0,35,0,10,0,0,0
1,9853,1,1,130,1,131.8,0,0,0,18,0,14,17,14,13.5
1,9500,1,1,120,1,105.9,0,0,0,35,0,6,7,6,11.575
